"name","type","period(s)","orbit(s)"
"GCRTJ1745-3009","LPT","4620.72",""
"GLEAM-XJ162759-523504","LPT","1091.17",""
"GPMJ1839-10","LPT","1318.19","31482.3"
"ASKAPJ1935+2148","LPT","2225.309",""
"CHIMEJ0630+25","LPT","421.35542",""
"ASKAPJ1832-0911","LPT","2656.24",""
"ASKAPJ1839-0756","LPT","23221.7",""
"ASKAPJ1755-2527","LPT","4186.32",""
"GLEM-XJ0704-36","WDLPT","10496","10496"
"ASKAPJ1448-6856","WDLPT","5631.07","5400"
"ILTJ1101+5521","WDLPT","7531.78","7531"
"CHIMEJ1634+44","WDLPT","841.24","4176"
"ARSco","WDpulsar","117.1","12816"
"J1912-4410","WDpulsar","319.3","14508"