"source","class","radio","association","distance(kpc)","l(deg)","b(deg)","period(s)","pdot(1e-11s/s)","pdot_ul","Bp(e14G)","B_ul","Edot(e33erg/s)","Edot_ul","tau_c(kyr)","tauc_lowlim","tau_real(kyr)","ref_age_real","luminosity_bol_qui(e33erg/s)","lum_ul","kT_min","Err_kT_min","kT_min_ul","lumin_peak","kT_max","Err_kT_max","kT_max_ul","Err_lum_down(1e33erg/s)","Err_lum_up(1e33erg/s)","Err_tau_real_down(kyr)","Err_tau_real_up(kyr)"
"CXOUJ185238.6+0040","CCO","","SNR Kes79","7.1","33.667347","0.038728","0.105","0.00000087","","0.00061","","0.32","","190000","","6.3","SNR","3","","0.133","0.001","","","","","","0.42","0.42","1.2","1.2"
"1E1207.4-5209","CCO","","SNR G296.5+10.0","2.35","296.545164","9.916088","0.424","0.0000022","","0.00196","","0.012","","302000","","7","SNR","5.5","","0.25","0.1","","","","","","4.98","2.27","2.3","2.3"
"RXJ0822.0-4300","CCO","","SNR PuppisA","1.3","260.572541","-3.495317","0.113","0.00000093","","0.00058","","0.19","","254000","","4.45","SNR","4","","0.45","0.05","","","","","","1","1","0.5","0.5"
"1E161348-5055","CCO","","SNR RCW103","3.3","332.428951","-0.373763","24030","70","True","15","True","","","","","2","SNR","7.2","","0.4","0.1","","220","1.2","0.1","","1","1","1.8","1.8"
"CXOJ085201.4-461753","CCO","","SNR Vela Jr","0.77","266.2346","-1.1942","","","","","","","","","","3.75","SNR","0.2","","0.09","0.01","","","","","","0.06","0.06","1.25","1.25"
"CXOJ232327.9+584842","CCO","","SNR CasA","3.4","111.74155","-2.13527","","","","","","","","","","0.32","SNR","2.1","","0.123","0.06","","","","","","0.26","0.26","0.02","0.02"
"1E0102.2-7219","CCO","","B0102-72.3 - SMC)","62","301.5586","-45.0635","","","","","","","","","","2.1","SNR","11","","0.21","0.05","","","","","","","","",""
"2XMMJ104608.7-594306","CCO","","Homunculus","2.35","287.733931","-0.596014","","","","","","","","","","11","SNR","0.4","","0.06","0.02","","","","","","0.049","0.049","10","10"
"CXOJ160103.1-513353","CCO","","G330.2+1.0","5","330.16899","0.98968","","","","","","","","","","0.8","SNR","2","","0.118","0.001","","","","","","0.7","0.7","0.1","0.1"
"1WGAJ1713.4-3949","CCO","","G347.3-0.5","1.3","347.2683","-0.4992","","","","","","","","","","1.6","SNR","1.1","","0.138","0.001","","","","","","0.16","0.16","0.2","0.2"
"XMMUJ172054.5-372652","CCO","","G350.1-0.3","6.1","350.05199999999996","-0.3069","","","","","","","","","","0.6","SNR","7.8","","0.161","0.009","","","","","","3.26","3.26","0.06","0.06"
"XMMUJ173203.3-344518","CCO","","HESSJ1731-347","3.2","353.5429","-0.6706","","","","","","","","","","4","SNR","7.2","","0.153","0.004","","","","","","1.13","1.13","3","3"
"CXOUJ181852.0-150213","CCO","","G015.9+0.002","10","15.8777","0.1972","","","","","","","","","","3.4","SNR","2.1","","0.13","0.02","","","","","","0.81","0.81","1.7","1.7"
"SGR1627-41","Magnetar","","SNR G337.0-0.1","11","336.98","-0.11","2.59","1.9","","4.5","","43","","2","","5","SNR","1.2","","","","","320","","","","0.12","0.12","0.5","0.5"
"1E2259+586","Magnetar","","SNR CTB109","3.2","109.09","-1","6.98","0.048","","1.2","","0.13","","230","","10","SNR","61","","0.37","0.01","","123","0.62","0.0069999999999999","","8.45","8.45","1","1"
"XTEJ1810-197","Magnetar","True","","3.5","10.73","-0.16","5.54","0.283","","2.6","","0.67","","31","","","","32","","0.131","0.004","","470","0.695","0.008","","","","",""
"SGR1806-20","Magnetar","","W31 open cluster","8.7","10","-0.24","7.75","7.5","","15","","1.6","","1.6","","0.8","PM","140","","0.61","0.04","","362","0.9","0.04","","20.3","20.3","0.3","0.3"
"CXOUJ1647-4552","Magnetar","","Westerlund1","4","339.55","-0.43","10.61","0.097","","2.1","","0.032","","173","","","","3.5","","0.52","0.02","","120","0.71","0.02","","","","",""
"SGRJ0501+4516","Magnetar","","SNR HB9","1.5","161.55","1.95","5.76","0.594","","3.7","","1.2","","15","","10","SNR","1.3","","0.37","0.02","","34","0.76","0.01","","0.23","0.23","1.5","1.5"
"1E1547-5408","Magnetar","True","SNR G327.24-0.13","4.5","327.24","-0.13","2.07","4.77","","6.4","","210","","0.69","","","SNR","2.3","","0.36","0.16","","500","0.61","0.01","","","","",""
"SGRJ0418+5729","Magnetar","","","2","147.98","5.12","9.08","0.0004","","0.12","","0.00021","","36000","","","","0.008","","0.3","0.05","","102","0.95","0.05","","","","",""
"SGRJ1833-0832","Magnetar","","","","23.34","0.02","7.57","0.35","","3.3","","0.32","","34","","","","8","True","","","True","102","","","","","","",""
"SwiftJ1822.3-1606","Magnetar","","","1.6","15.35","-1.02","8.44","0.013","","0.68","","0.0084","","1030","","","","0.3","","0.2","0.05","","80","0.8","0.02","","","","",""
"SwiftJ1834.9-0846","Magnetar","","","4.2","23.25","-0.34","2.48","0.8059999999999999","","2.9","","21","","5","","","","0.2","True","","","True","100","","","","","","",""
"1E1048.1-5937","Magnetar","","","9","288.26","-0.52","6.46","2.18","","7.6","","3.2","","4.7","","","","89","","0.5920000000000001","0.009","","570","0.654","0.0069999999999999","","","","",""
"SGRJ1745-2900","Magnetar","True","Galactic Center","8.3","359.94","-0.05","3.76","3.06","","6.9","","22","","1.9","","","","10","","0.62","0.05","True","680","0.88","0.01","","","","",""
"SGRJ1935+2154","Magnetar","True","FRB","9","57.25","0.82","3.24","1.43","","4.4","","16","","3.6","","","","4","","0.44","0.02","","250","1.6","0.2","","","","",""
"1E1841-045","Magnetar","","SNR Kes73","8.5","27.39","-0.01","11.79","4.09","","13.8","","0.99","","4.6","","0.7","SNR","460","","0.43","0.02","","1700","0.55","0.16","","83.5","48.5","0.25","0.25"
"SGR1900+14","Magnetar","","open cluster","12.5","43.02","0.77","5.2","9.2","","14","","26","","0.9","","5.6","PM","140","","0.45","0.02","","224","0.57","0.01","","23.8","23.8","1.8","1.8"
"4U0142+614","Magnetar","","","3.6","129.38","-0.43","8.69","0.2","","2.7","","0.13","","69","","","","380","","0.402","0.002","","1230","0.43","0.03","","","","",""
"1RXSJ170849.0-4009","Magnetar","","","3.8","346.48","0.04","11.01","1.95","","9.3","","0.58","","9.1","","","","100","","","","","300","","","","","","",""
"CXOUJ010043.1-721","Magnetar","","SMC","62.4","301.93","-44.92","8.02","1.88","","7.9","","1.4","","6.8","","","","224","","","","","0","","","","","","",""
"CXOUJ171405.7-3810","Magnetar","","SNR CTB37B","13.2","348.68","0.37","3.83","6.4","","10","","45","","0.95","","","SNR","112","","","","","0","","","","","","",""
"SGR0526-66","Magnetar","","SNR N49 - LMC","49.7","276.09","-33.25","8.05","3.8","","11","","2.9","","3.4","","5","SNR","398","","","","","0","","","","15.9","15.9","0.5","0.5"
"PSRJ1119-6127","Magnetar","True","SNR G292.2-0.5","8.4","292.151295","-0.536942","0.407","0.4","","0.82","","2511.9","","1.6","","5.6","SNR","2","","","","","0","","","","0.2","0.2","1.5","1.5"
"PSRJ1846-0258","Magnetar","","","6","29.711946","-0.240114","0.33","0.71","","0.98","","8100","","0.73","","","","20","","","","","390","","","","","","",""
"PSRJ1622-4950","Magnetar","True","","9","333.849035","-0.101993","4.3261","1.7","","5.4","","8.3","","4","","","","0.44","True","","","","350","","","","","","",""
"SwiftJ1818.0-1607","Magnetar","True","","9.4","14.81535","-0.138088","1.36","5","","5","","720","","0.47","","","","1.3","True","","","","70","","","","","","",""
"SGRJ1830-0645","Magnetar","","","10","24.55392","1.501437","10.41572","0.79","","5.8","","0.28","","20.7","","","","20","True","0.3","0.01","True","600","1.1","0.1","","","","",""
"3XMMJ1852+0033","Magnetar","","","7.1","33.578554","-0.045068","11.55871346","0.014","True","0.82","True","0.0036","True","1300","True","","","0.006","True","","","","0","","","","","","",""
"SwiftJ1555.2-5402","Magnetar","","","5","327.872705","-0.334518","3.861001597639","2.2","","5.8","","15","","2.8","","","","150","True","","","","","","","","","","",""
"PSRJ0726-2612","RPP","True","","1","240.079247","-4.644334","3.44","0.03","","0.64","","0.25","","190","","","","0.2","","0.074","0.0011","","","","","","","","",""
"PSRJ1819-1458","RPP","True","RRAT","3.6","16.019002","0.080346","4.263","0.057","","1","","0.32","","120","","","","5","","","","","","","","","","","",""
"PSRJ1718-3718","RPP","True","","4.5","349.848963","0.215121","3.378","0.16","","1.5","","1.58","","33","","","","0.4916319999999999","","","","","","","","","","","",""
"1RXSJ1412+7922","RPP","","Calvera","0.3","213.23285417","79.36780556","0.059","0.000319","","0.0088","","610","","290","","","","0.0138213","","0.25","0.01","","","","","","","","",""
"PSRJ0538+2817","RPP","True","SNR S147","1.3","179.718198","-1.685636","0.143","0.00037","","0.015","","50.12","","620","","40","SNR","0.4","","","","","","","","","0.09","0.11","15","15"
"PSRB1055-52","RPP","True","","0.35","285.98434100000014","6.649336","0.197","0.00058","","0.022","","31.62","","540","","","","0.0785942","","0.068","0.003","","","","","","","","",""
"PSRJ0633+1746","RPP","True","Geminga","0.19","195.133837","4.265811","0.237","0.0011","","0.033","","31.62","","340","","","","0.0398","","0.042","0.005","","","","","","","","",""
"PSRB1706-44","RPP","True","G343.1-02.3","2.3","343.0982140000001","-2.6851130000000003","0.102","0.0093","","0.062","","3162.28","","17","","","","","","0.071","0.07","","","","","","","","",""
"PSRB0833-45","RPP","True","SNR Vela","0.29","263.551962","-2.787257","0.089","0.012","","0.068","","6309.56","","11","","8.9","SNR","0.5","","0.057","0.003","","","","","","0.06","0.06","0.25","0.25"
"PSRB0656+14","RPP","True","SNR Monogem","0.29","201.10766","8.258282000000001","0.385","0.0055","","0.093","","39.81","","110","","79.4","SNR","0.026455","","0.064","0.02","","","","","","0.0036","0.0036","8","8"
"PSRB2334+61","RPP","True","G114.3+00.3","3.1","114.28389","0.233355","0.495","0.019","","0.2","","63.1","","41","","7.7","PM","0.0781036","","0.038","0.009","","","","","","0.026","0.01","0.8","0.8"
"PSRJ1740+1000","RPP","True","","1.4","34.01052","20.268413","0.154","0.00215","","0.036","","230","","114","","","","0.1995","","0.148","0.02","","","","","","","","",""
"PSRJ0205+6449","RPP","True","3C58","3.2","31.408","64.8286","0.0657","0.0193","","0.072","","27000","","5.37","","0.83","SNR","0.316","","0.049","0.005","","","","","","0.08","0.08","0.08","0.08"
"PSRJ0357+3205","RPP","","Morla","0.45","59.4673375","32.08989722","0.444","0.0013","","0.048","","5.9","","540","","","","","","0.036","0.01","","","","","","","","",""
"PSRJ0633+0632","RPP","","G205.5+0.5","0.9","98.4339","6.54152222","0.297","0.00795","","0.094","","120","","59.2","","","SNR","","","0.053","0.006","","","","","","","","",""
"PSRJ1357-6429","RPP","True","HESSJ1356-645","2.5","209.26052083","-64.49163611","0.166","0.036","","0.156","","3100","","7.3","","","","0.158","","0.064","0.004","","","","","","","","",""
"PSRJ1741-2054","RPP","True","","0.8","265.4887","-20.9011","0.414","0.0016899999999999","","0.054","","9.5","","386","","","","0.316","","0.06","0.002","","","","","","","","",""
"PSRB1822-08","RPP","True","","0.3","276.3775","-9.5892","0.769","0.0052","","0.128","","4.5","","233","","","","0.00236906","","0.083","0.004","","","","","","","","",""
"PSRB1823-13","RPP","True","","3.6","276.5544","-13.58","0.1009999999999999","0.0075","","0.056","","2800","","21.4","","","","","","0.097","0.004","","","","","","","","",""
"PSRJ1836+5925","RPP","","Next Geminga","0.3","279.0569208","59.4249361","0.173","0.00015","","0.012","","11","","1800","","","","0.0039","","0.015","0.004","","","","","","","","",""
"PSRB1951+32","RPP","True","CTB80","2.4","298.2424","32.8781","0.0395","0.000584","","0.0097","","3700","","107","","64","SNR","","","0.13","0.02","","","","","","","","",""
"PSRJ1957+5033","RPP","","","1.3","299.41","50.5559","0.375","0.0007","","0.032","","5.3","","839","","","","0.00181629","","0.013","0.01","","","","","","","","",""
"PSRJ2021+3651","RPP","True","","1.8","305.2725","36.8513","0.104","0.0095","","0.064","","3400","","17.2","","","","","","0.063","0.06","","","","","","","","",""
"PSRB1509-58","RPP","True","","5.2","228.4482","-59.1318","0.08892","0.000915","","0.3","","510","","154","","","","","","0.142","0.009","","","","","","","","",""
"PSRJ0554+3107","RPP","","","4.5","88.5201","31.1282","0.465","0.01426","","0.0819999999999999","","56","","52","","","","1.95625","","","","","","","","","","","",""
"RXJ0420.0-5022","XDINS","","","0.34","258.134978","-44.385597","3.45","0.002759","","0.2","","0.025","","2000","","","","0.014","","","","","","","","","","","",""
"RXJ1856.5-3754","XDINS","","","0.12","358.599611","-17.21311","7.055","0.003","","0.29","","0.003","","3800","","400","PM","0.047","","","","","","","","","0.006","0.006","50","50"
"RXJ2143.0+0654","XDINS","","","0.43","62.657328","-33.139952","9.428","0.0041","","0.4","","0.002","","3600","","","","0.1","","","","","","","","","","","",""
"RXJ0720.4-3125","XDINS","","","0.29","244.15805","-8.164527","8.391","0.006983","","0.48","","0.0047","","1900","","800","PM","0.2","","","","","","","","","0.034","0.034","15","15"
"RXJ0806.4-4123","XDINS","","","0.25","257.426088","-4.984389","11.37","0.0055","","0.51","","0.0016","","3300","","","","0.03","","","","","","","","","","","",""
"RXJ1308.6+2127","XDINS","","","0.5","338.745669","83.081296","10.31","0.011","","0.68","","0.004","","1500","","1000","PM","0.02","","","","","","","","","0.003","0.003","100","100"
"RXJ1605.3+3249","XDINS","","","0.35","52.875945","47.990468","","","","","","","","","","500","PM","1.99","","","","","","","","","0.24","0.29","45","45"
"GCRTJ1745-3009","LPT","True","","","358.891091","-0.540953","4620.72","50000","True","50000","True","","","","","","","","","","","","","","","","","","",""
"GLEAM-XJ162759-523504","LPT","True","","1.3","332.464615","-2.600949","1091.17","120","True","948","True","0.0000144999999999","True","14","True","","","0.001","True","","","","","","","","","","",""
"GPMJ1839-10","LPT","True","","5.3","22.152679","-2.062965","1318.19","0.036","True","16","True","0.000000024","True","58046","True","","","0.01","True","","","","","","","","","","",""
"ASKAPJ1935+2148","LPT","True","","4.3","57.190168","0.745372","2225.308999","12","True","380","True","0.0000012","True","294","True","","","","","","","","","","","","","","",""
"CHIMEJ0630+25","LPT","True","","0.17","187.970915","7.060648","421.35542","0.08","True","21.5","True","0.0000042","True","3337","True","","","","","","","","","","","","","","",""
"ASKAPJ1832-0911","LPT","True","","4.5","22.640596","-0.083962","2656.2554","0.9","True","936","True","0.000005","True","70","True","","","0.05","True","","","","1.1","1.4","","","","","",""
"ASKAPJ1839-0756","LPT","True","","","24.545013","-1.055767","23221.7","16000","True","45194.1","True","0.000002","True","2.3","True","","","","","","","","","","","","","","",""
"ASKAPJ1755-2527","LPT","True","","","4.116664","-0.122707","4186","1","True","","","","","","","","","","","","","","","","","","","","",""
"ASKAPJ1448-6856","WDLPT","True","","6","313.164425","-8.433893","5631","2200","True","50000","True","","","","","","","","","","","","","","","","","","",""
"PSRJ0250+5854","LongP","True","","1.6","137.767","-0.505","23.535378","0.002716","","0.52","","0.000082","","13700","","","","","","","","","","","","","","","",""
"PSRJ0901-4046","LongP","True","","0.3","263.14","3.7","75.885547","0.0225","","2.6","","0.00002","","5300","","","","","","","","","","","","","","","",""
"PSRJ0311+1402","LongP","True","","","166.0303","-36.0496","40.9106968","0.00125","","0.4","","0.00001","","51000","","","","","","","","","","","","","","","",""
"GLEAM-XJ0704-36","WDLPT","True","","","247.895543","-13.63526","10496.5","3.9","True","4743.9","True","0.000000005","True","4267.2","True","","","","","","","","","","","","","","",""
"ARSco","WDpulsar","True","","0.1159999999999999","353.52","18.71","117.1","0.068","","","","","","","","","","","","","","","","","","","","","",""
"J1912-4410","WDpulsar","True","","0.237","353.343256","-22.061363","319.3","0.6","True","","","","","","","","","","","","","","","","","","","","",""
"ILTJ1101+5521","WDLPT","True","","0.504","150.455121","55.51999300000001","7531.78","1.71","True","","","","","","","","","","","","","","","","","","","","",""
"CHIMEJ1634+44","WDLPT","True","","","70.170681","42.57537","841.24","100000","","","","","","","","","","","","","","","","","","","","","",""